LOINC_NUM,LOINC_KEY
1004-1,1004-1
53744-9,1004-1
100-8,18884-7
101-6,18884-7
18884-7,18884-7
35767-3,18884-7
1008-2,1008-2
50012-4,1008-2
10196-4,10196-4
11395-1,10196-4
11396-9,10196-4
10200-4,10200-4
11405-8,10200-4
10201-2,10201-2
11408-2,10201-2
11409-0,10201-2
10230-1,10230-1
18043-0,10230-1
18044-8,10230-1
18045-5,10230-1
18046-3,10230-1
18047-1,10230-1
18048-9,10230-1
18049-7,10230-1
77889-4,10230-1
77890-2,10230-1
77891-0,10230-1
77892-8,10230-1
79990-8,10230-1
79991-6,10230-1
79992-4,10230-1
79993-2,10230-1
8806-2,10230-1
8807-0,10230-1
8808-8,10230-1
8809-6,10230-1
8810-4,10230-1
8811-2,10230-1
8812-0,10230-1
93644-3,10230-1
93645-0,10230-1
93646-8,10230-1
10231-9,10231-9
81388-1,10231-9
8813-8,10231-9
8814-6,10231-9
8815-3,10231-9
8816-1,10231-9
8817-9,10231-9
8818-7,10231-9
8819-5,10231-9
10327-5,30381-8
30381-8,30381-8
10328-3,26479-6
26479-6,26479-6
10329-1,26486-1
26486-1,26486-1
10330-9,26487-9
26487-9,26487-9
10331-7,10331-7
34961-3,10331-7
10334-1,10334-1
15157-1,10334-1
83082-8,10334-1
10338-2,10338-2
30249-7,10338-2
10339-0,10339-0
10538-7,10339-0
10341-6,10341-6
35626-1,10341-6
10343-2,10343-2
10550-2,10343-2
59750-0,10343-2
10350-7,22343-8
14213-3,22343-8
22343-8,22343-8
10358-0,22571-4
22571-4,22571-4
10359-8,10359-8
43179-1,10359-8
10360-6,10360-6
42201-4,10360-6
10362-2,10362-2
46126-9,10362-2
10363-0,10363-0
61067-5,10363-0
10365-5,10365-5
43196-5,10365-5
10366-3,10366-3
72786-7,10366-3
92643-6,10366-3
104-0,18885-4
105-7,18885-4
18885-4,18885-4
55643-1,18885-4
10501-5,10501-5
20419-8,10501-5
83103-2,10501-5
10535-3,10535-3
83093-5,10535-3
10537-9,3582-4
3582-4,3582-4
10569-2,10569-2
14663-9,10569-2
10579-1,10579-1
811-0,10579-1
812-8,10579-1
10595-7,9780-8
9780-8,9780-8
10599-9,10600-5
10600-5,10600-5
10644-3,10644-3
14786-8,10644-3
14787-6,10644-3
10653-4,18909-2
18909-2,18909-2
54177-1,18909-2
55663-9,18909-2
10662-5,40745-2
10663-3,40745-2
10664-1,40745-2
40745-2,40745-2
10667-4,42805-2
10668-2,42805-2
10669-0,42805-2
21003-9,42805-2
42805-2,42805-2
42809-4,42805-2
580-1,42805-2
10671-6,10671-6
14789-2,10671-6
14790-0,10671-6
90300-5,10671-6
10672-4,10672-4
14788-4,10672-4
10677-3,44475-2
44475-2,44475-2
88201-9,44475-2
10679-9,44502-3
44502-3,44502-3
86540-2,44502-3
10686-4,53625-0
10687-2,53625-0
23160-5,53625-0
23161-3,53625-0
23162-1,53625-0
53625-0,53625-0
10697-1,18958-9
18958-9,18958-9
35824-2,18958-9
55689-4,18958-9
10711-0,31931-9
31931-9,31931-9
10712-8,10712-8
18308-7,10712-8
10717-7,17647-9
17647-9,17647-9
17648-7,17647-9
10718-5,8034-1
5373-6,8034-1
8034-1,8034-1
10719-3,8037-4
5375-1,8037-4
8037-4,8037-4
10720-1,18992-8
18992-8,18992-8
10723-5,22578-9
22578-9,22578-9
10724-3,17716-2
17716-2,17716-2
10739-1,41461-5
12272-1,41461-5
41461-5,41461-5
