Token,FinalTokenMap
HEART,HEART
SER,SERUM
PLAS,PLASMA
BPU,BLOOD
DONOR,DONOR
RBC,RED BLOOD CELLS
ISOLATE,ISOLATE
PATIENT,PATIENT
FAMILY,FAMILY
MEMBER,MEMBER
REPRODUCTIVE,REPRODUCTIVE
SYSTEM,SYSTEM
CARDIOVASCULAR,CARDIOVASCULAR
EAR,EAR
ENDOCRINE,ENDOCRINE
EYES,TEST
HEMATOLOGIC,HEMATOLOGIC
MUSCULOSKELETAL,MUSCULOSKELETAL
NOSE,NOSE
ORAL,ORAL
CAVITY,CAVITY
RESPIRATORY,RESPIRATORY
SKIN,SKIN
THROAT,THROAT
NECK,NECK
URINARY,URINARY
TRACT,TRACT
ABDOMEN,ABDOMEN
BACK,BACK
BREASTS,BREASTS
NEUROLOGIC,NEUROLOGIC
DEEP,DEEP
TENDON,TENDON
REFLEXES,REFLEXES
EXTREMITIES,EXTREMITIES
EYE,EYE
GENITOURINARY,GENITOURINARY
HEAD,HEAD
MOUTH,MOUTH
TEETH,TEETH
PELVIS,PELVIS
RECTUM,RECTUM
THORAX,THORAX
LUNGS,LUNGS
VESSELS,VESSELS
BALANCE,BALANCE
COORDINATION,COORDINATION
GENERAL,GENERAL
STATUS,STATUS
SENSE,SENSE
TOUCH,TOUCH
STRENGTH,STRENGTH
SURGICAL,SURGICAL
PROCEDURE,PROCEDURE
CARDIAC,CARDIAC
MEASUREMENT,MEASUREMENT
DEVICE,DEVICE
INTRAVASCULAR,INTRAVASCULAR
SPACE,SPACE
XXX,DEPRECATED
HEMODYNAMIC,HEMODYNAMIC
METHOD,METHOD
VENTRICLE,VENTRICLE
LEFT,LEFT
RIGHT,RIGHT
AORTA,AORTA
ROOT,ROOT
ATRIUM,ATRIUM
HIGH,HIGH
LOW,LOW
MID,MID
OUTFLOW,OUTFLOW
CORONARY,CORONARY
SINUS,SINUS
DUCTUS,DUCTUS
ARTERIOSUS,ARTERIOSUS
VENA,VENA
CAVA,CAVA
INFERIOR,INFERIOR
PULMONARY,PULMONARY
ARTERY,ARTERY
MAIN,MAIN
WEDGE,WEDGE
SUPERIOR,SUPERIOR
RATE,RATE
BILIARY,BILIARY
DRAIN,DRAIN
PERITONEAL,PERITONEAL
SUBARACHNOID,SUBARACHNOID
CHEST,CHEST
TUBE,TUBE
ENTERAL,ENTERAL
GASTROSTOMY,GASTROSTOMY
GI,INTAKE
IO,INTAKE OUTPUT
NASOGASTRIC,NASOGASTRIC
CONTROL,CONTROL
STOOL,STOOL
COLLECTION,COLLECTION
SYNOVIAL,SYNOVIAL
UPPER,UPPER
BLADDER,BLADDER
IRRIGATION,IRRIGATION
URINE,URINE
WOUND,WOUND
ENEMA,ENEMA
LOWER,LOWER
BREATH,BREATH
SPUTUM,SPUTUM
CSF,CEREBRAL SPINAL FLUID
BODY,BODY
FLD,FLUID
BLD,BLOOD
GENITAL,GENITAL
URETHRA,URETHRA
DOSE,DOSE
BONE,BONE
MAR,MARROW
HAIR,HAIR
GAST,GASTRIC
BLDC,BLOOD
TISS,TISSUE
CVX,CERVIX
SMPLS,SEMEN
SPERMATOZOA,SPERMATOZOA
SEMEN,SEMEN
CVM,CERVICAL
SEMIN,SEMINAL
ASP,ASPIRATE
BRONCHIAL,BRONCHIAL
DUOD,DUODENAL
WATER,WATER
LIVER,LIVER
LUNG,LUNG
NAIL,NAIL
MUSHROOM,MUSHROOM
SPECIMEN,SPECIMEN
FOOD,FOOD
VOMITUS,VOMITUS
PLANT,PLANT
SED,SEDIMENT
BRAIN,BRAIN
MILK,MILK
MUC,MUCUS
MECONIUM,MECONIUM
SYNV,SYNOVIAL
SPUN,SPUN
BLDCO,BLOOD
VAG,VAGINAL
THRT,THROAT
PROVIDER,PROVIDER
REFERRAL,REFERRAL
SOURCE,SOURCE
EMS,EMS
ARTERIAL,ARTERIAL
ALLERGIC,ALLERGENIC
IMMUNOLOGIC,IMMUNOLOGIC
EARS,EARS
SINUSES,SINUSES
THR,THROAT
GASTROINTESTINAL,GASTROINTESTINAL
SYSTEMS,SYSTEMS
INTEGUMENTARY,INTEGUMENTARY
PSYCHIATRIC,PSYCHIATRIC
ANKLE,ANKLE
ARM,ARM
AXILLA,AXILLA
BUTTOCKS,BUTTOCKS
CALF,CALF
WALL,WALL
ELBOW,ELBOW
FOOT,FOOT
FOREARM,FOREARM
GENITALIA,GENITALIA
FEMALE,FEMALE
MALE,MALE
GROIN,GROIN
HAND,HAND
HIP,HIP
KNEE,KNEE
SHOULDER,SHOULDER
THIGH,THIGH
WRIST,WRIST
LYMPHATIC,LYMPHATIC
AMNIO,AMNIOTIC
SETTING,SETTING
HOSPITAL,HOSPITAL
REPORT,REPORT
FETUS,FETAL
FNA,FINE
LIMBS,LIMBS
TRUNK,TRUNK
AM,AMNIOTIC
QUADRANT,QUADRANT
FOUR,FOUR
ONE,ONE
THREE,THREE
TWO,TWO
MITRAL,MITRAL
VALVE,VALVE
TRICUSPID,TRICUSPID
CIRCULATORY,VELOCITY
CEREBRAL,CEREBRAL
