test_order_name_SHORTNAME_sdist,test_order_name_LONG_COMMON_NAME_sdist,test_order_name_COMPONENT_sdist,test_result_name_SHORTNAME_sdist,test_result_name_LONG_COMMON_NAME_sdist,test_result_name_COMPONENT_sdist,test_order_name_SHORTNAME_tfidf,test_order_name_LONG_COMMON_NAME_tfidf,test_order_name_COMPONENT_tfidf,test_result_name_SHORTNAME_tfidf,test_result_name_LONG_COMMON_NAME_tfidf,test_result_name_COMPONENT_tfidf,label,assignment,test_order_name,test_result_name,LONG_COMMON_NAME,SHORTNAME,COMPONENT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,273532,LIVER FIBROSIS PANEL,ALT,Glucose mean value [Mass/volume] in Blood Estimated from glycated hemoglobin,Est. average glucose Bld gHb Est-mCnc,Estimated average glucose
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,327692,CBC WITH PLT DIFF,VARIANT LYMPHOCYTES ABSOLUTE,Alpha 1 antitrypsin phenotyping [Interpretation] in Serum or Plasma,A1AT Phenotyp SerPl-Imp,Alpha 1 antitrypsin phenotyping
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19885,NASH FIBROSURE,ALT SGPT P5P,C reactive protein [Mass/volume] in Serum or Plasma,CRP SerPl-mCnc,C reactive protein
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,223222,VITAMIN D 25 OH,25 OH VITAMIN D,Hepatitis B virus surface Ab [Presence] in Serum,HBV surface Ab Ser Ql,Hepatitis B virus surface Ab
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21329,CMP14 6AC,PHOSPHORUS,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma,Vit B12 SerPl-mCnc,Cobalamins
0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.022400253540001414,0.0,0.0,0.0,0.0,0,237610,COMPLETE BLOOD COUNT,WBC,Neutrophils/100 leukocytes in Blood by Manual count,Neutrophils/leuk NFr Bld Manual,Neutrophils/100 leukocytes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,67686,COMPREHENSIVE METABOLIC PANEL E GFR,ALT,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,ALP SerPl-cCnc,Alkaline phosphatase
0.0,0.011764705882352941,0.025,0.14333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,771477,COMP METAB PANEL,EGFR NON AFR AMERICAN,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",GFR/BSA.pred SerPlBld MDRD-ArVRat,Glomerular filtration rate/1.73 sq M.predicted
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,196592,FIBROACT COMPLETE,NECROINFL SCORE,Phencyclidine [Presence] in Urine by Screen method,PCP Ur Ql Scn,Phencyclidine
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50484,TSH FREE T4 PROFILE,TSH THIRD GENERATION,Nuclear Ab [Titer] in Serum by Immunofluorescence,ANA Titr Ser IF,Nuclear Ab
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20289,PROTHROMBIN TIME,PT POP MEAN,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",CO2 SerPl-sCnc,Carbon dioxide
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,196592,HEPATITIS PANEL ACUTE,HEPATITIS C AB CIA,Phencyclidine [Presence] in Urine by Screen method,PCP Ur Ql Scn,Phencyclidine
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7641,ANA AUTOIMMUNE PROFILE,RHEUMATOID FACTOR QUANT,Band form neutrophils/100 leukocytes in Blood by Manual count,Neuts Band/leuk NFr Bld Manual,Neutrophils.band form/100 leukocytes
0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.08287539106540942,0.0,0.0,0,285403,CBC NO DIFF,RBC,MCHC [Mass/volume],MCHC RBC-mCnc,Erythrocyte mean corpuscular hemoglobin concentration
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,63016,T LYMPHOCYTE HELPER SUPPRESSOR,LYMPHS,INR in Platelet poor plasma by Coagulation assay,INR PPP,Coagulation tissue factor induced.INR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,330373,BUN CREAT RATIO,EGFR AFRICAN AMERICAN,Anion gap in Serum or Plasma,Anion Gap SerPl-sCnc,Anion gap
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,460980,PSA FREE TOTAL,PSA FREE,Sex,Sex,Sex
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23457,THYROID II PROFILE T3U T4 T7 TSH,T4 THYROXINE,Glucose [Mass/volume] in Serum or Plasma,Glucose SerPl-mCnc,Glucose
0.0,0.07142857142857142,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19885,CBC W O DIFF WITH PLATELETS,MCH,C reactive protein [Mass/volume] in Serum or Plasma,CRP SerPl-mCnc,C reactive protein
