code|mean|std|n_pos|total
005025|-1.0|-1.0|1|11
451765|-1.0|-1.0|1|11
451617|-1.0|-1.0|2|22
44917|-1.0|-1.0|2|22
448134|-1.0|-1.0|1|11
437277|-1.0|-1.0|1|11
433052|-1.0|-1.0|2|22
433045|-1.0|-1.0|1|11
429316|-1.0|-1.0|3|33
425959|-1.0|-1.0|2|22
424838|-1.0|-1.0|1|11
424820|-1.0|-1.0|1|11
423327|-1.0|-1.0|1|11
422428|-1.0|-1.0|2|22
422410|-1.0|-1.0|1|11
452243|-1.0|-1.0|1|11
40865|-1.0|-1.0|1|11
39685|-1.0|-1.0|1|11
39347|-1.0|-1.0|1|11
390179|-1.0|-1.0|1|11
38794|-1.0|-1.0|3|33
385187|-1.0|-1.0|3|33
384453|-1.0|-1.0|1|11
381772|-1.0|-1.0|1|11
37192|-1.0|-1.0|1|11
369165|-1.0|-1.0|1|11
36830|-1.0|-1.0|1|11
357418|-1.0|-1.0|4|44
356188|-1.0|-1.0|1|11
355594|-1.0|-1.0|1|11
354621|-1.0|-1.0|2|22
406611|-1.0|-1.0|1|11
35436|-1.0|-1.0|1|11
452854|-1.0|-1.0|1|11
45518|-1.0|-1.0|1|11
51177|-1.0|-1.0|1|11
509570|-1.0|-1.0|2|22
509562|-1.0|-1.0|3|33
507962|-1.0|-1.0|4|44
5056360|-1.0|-1.0|4|44
505628|-1.0|-1.0|1|11
505610|-1.0|-1.0|3|33
505594|-1.0|-1.0|1|11
505586|-1.0|-1.0|2|22
505578|-1.0|-1.0|2|22
505552|-1.0|-1.0|4|44
505537|-1.0|-1.0|4|44
502211|-1.0|-1.0|3|33
50120|-1.0|-1.0|1|11
453878|-1.0|-1.0|1|11
495036|-1.0|-1.0|1|11
492967|-1.0|-1.0|1|11
490243|-1.0|-1.0|4|44
487678|-1.0|-1.0|4|44
483982|-1.0|-1.0|2|22
483784|-1.0|-1.0|3|33
483453|-1.0|-1.0|1|11
473652|-1.0|-1.0|1|11
462663|-1.0|-1.0|3|33
462176|-1.0|-1.0|1|11
462168|-1.0|-1.0|4|44
461541|-1.0|-1.0|1|11
461285|-1.0|-1.0|3|33
461277|-1.0|-1.0|1|11
45765|-1.0|-1.0|1|11
493114|-1.0|-1.0|4|44
351684|-1.0|-1.0|1|11
347146|-1.0|-1.0|4|44
347005|-1.0|-1.0|1|11
30494|-1.0|-1.0|1|11
304717|-1.0|-1.0|1|11
304501|-1.0|-1.0|1|11
304469|-1.0|-1.0|1|11
304337|-1.0|-1.0|2|22
30403|-1.0|-1.0|2|22
303859|-1.0|-1.0|3|33
303610|-1.0|-1.0|3|33
302505|-1.0|-1.0|1|11
302117|-1.0|-1.0|1|11
30130|-1.0|-1.0|1|11
299016|-1.0|-1.0|1|11
29900|-1.0|-1.0|1|11
298935|-1.0|-1.0|2|22
30502|-1.0|-1.0|2|22
298927|-1.0|-1.0|1|11
29652|-1.0|-1.0|1|11
295980|-1.0|-1.0|1|11
29553|-1.0|-1.0|1|11
293001|-1.0|-1.0|2|22
28894|-1.0|-1.0|2|22
285452|-1.0|-1.0|4|44
285429|-1.0|-1.0|1|11
285411|-1.0|-1.0|3|33
28282|-1.0|-1.0|2|22
274167|-1.0|-1.0|1|11
269712|-1.0|-1.0|1|11
26971|-1.0|-1.0|1|11
268748|-1.0|-1.0|2|22
265249|-1.0|-1.0|1|11
297713|-1.0|-1.0|1|11
30536|-1.0|-1.0|3|33
305524|-1.0|-1.0|1|11
312041|-1.0|-1.0|3|33
33969|-1.0|-1.0|1|11
339440|-1.0|-1.0|4|44
33944|-1.0|-1.0|1|11
339101|-1.0|-1.0|1|11
33902|-1.0|-1.0|1|11
33894|-1.0|-1.0|1|11
336677|-1.0|-1.0|1|11
33498|-1.0|-1.0|3|33
333138|-1.0|-1.0|1|11
332569|-1.0|-1.0|2|22
332551|-1.0|-1.0|4|44
331942|-1.0|-1.0|1|11
330514|-1.0|-1.0|1|11
329987|-1.0|-1.0|2|22
32987|-1.0|-1.0|1|11
327601|-1.0|-1.0|1|11
327338|-1.0|-1.0|1|11
312900|-1.0|-1.0|1|11
31385|-1.0|-1.0|3|33
99006|-1.0|-1.0|1|11
315887|-1.0|-1.0|1|11
316273|-1.0|-1.0|1|11
31674|-1.0|-1.0|1|11
51268|-1.0|-1.0|1|11
31682|-1.0|-1.0|1|11
